time_seconds,group,isc_mean,ci_low,ci_high,n,isc_definition,segment_label
282.0,ASD,0.02486141428531282,-0.07506472636321351,0.12478755493383917,,within_group_loo,Neutral
282.5,TD,0.09589016686393068,-0.020025906973910407,0.21180624070177176,,within_group_loo,Neutral
282.5,ASD,0.021001387783736346,-0.08160546862106004,0.12360824418853274,,within_group_loo,Neutral
283.0,TD,0.096086006123024,-0.026649001941600636,0.21882101418764863,,within_group_loo,Neutral
283.0,ASD,0.017576379830387883,-0.090723075583824,0.12587583524459978,,within_group_loo,Neutral
283.5,TD,0.12562576269170947,0.011256680763112134,0.2399948446203068,,within_group_loo,Neutral
283.5,ASD,0.024716132791814092,-0.08457946376204611,0.1340117293456743,,within_group_loo,Neutral
284.0,TD,0.12984904792862056,0.01786817327096267,0.24182992258627845,,within_group_loo,Neutral
284.0,ASD,-0.11159019531289283,-0.19807691651778,-0.025103474108005647,,within_group_loo,Neutral
284.5,TD,0.2124982179558076,0.10033537480936626,0.3246610611022489,,within_group_loo,Neutral
284.5,ASD,-0.1087840877083297,-0.19763862419938208,-0.019929551217277325,,within_group_loo,Neutral
285.0,TD,0.16949195385675586,0.061245203585791955,0.2777387041277198,,within_group_loo,Neutral
285.0,ASD,0.03724586511546615,-0.07500657652605805,0.14949830675699036,,within_group_loo,Neutral
285.5,TD,0.178167524959312,0.07710698234355767,0.27922806757506635,,within_group_loo,Neutral
285.5,ASD,0.11538835340892512,0.0027355953826179447,0.22804111143523229,,within_group_loo,Neutral
286.0,TD,0.18426133139371248,0.06886956240449096,0.299653100382934,,within_group_loo,Neutral
286.0,ASD,0.10923474461835421,-0.0062381235333330565,0.22470761277004148,,within_group_loo,Neutral
286.5,TD,0.20467666041570534,0.09802733677423824,0.31132598405717243,,within_group_loo,Neutral
286.5,ASD,0.09955835884635014,-0.001966630493648508,0.2010833481863488,,within_group_loo,Neutral
287.0,TD,0.22630772281317377,0.1245096034190771,0.32810584220727046,,within_group_loo,Neutral
287.0,ASD,0.15363552709846265,0.0417816993856161,0.2654893548113092,,within_group_loo,Neutral
287.5,TD,0.23654216554120844,0.11969790774951368,0.3533864233329032,,within_group_loo,Neutral
287.5,ASD,0.2151758166799898,0.09780672394952998,0.3325449094104496,,within_group_loo,Neutral
288.0,TD,0.18936195961980237,0.07717551470349089,0.30154840453611387,,within_group_loo,Neutral
288.0,ASD,0.1929940892914561,0.08028476363991607,0.30570341494299613,,within_group_loo,Neutral
288.5,TD,0.09975226224073327,-0.027885294488571327,0.22738981897003788,,within_group_loo,Neutral
288.5,ASD,0.05937650177796179,-0.0667334792327924,0.185486482788716,,within_group_loo,Neutral
289.0,TD,0.025857731046513472,-0.0949991409496561,0.14671460304268305,,within_group_loo,Neutral
289.0,ASD,0.026795102156048706,-0.07586233197502261,0.12945253628712003,,within_group_loo,Neutral
289.5,TD,0.044570590526288784,-0.05886134684038291,0.14800252789296048,,within_group_loo,Neutral
289.5,ASD,0.04261761551098059,-0.07732565407490775,0.16256088509686895,,within_group_loo,Neutral
290.0,TD,0.06721264922218786,-0.05660123129908559,0.19102652974346132,,within_group_loo,Neutral
290.0,ASD,0.08265554396154084,-0.02099410137792261,0.18630518930100431,,within_group_loo,Neutral
290.5,TD,0.12607115718591727,0.006579864225627022,0.24556245014620753,,within_group_loo,Neutral
290.5,ASD,0.1025947505370752,6.943894706600007e-05,0.2051200621270844,,within_group_loo,Neutral
291.0,TD,0.1161895391972487,-0.0019025484792790787,0.23428162687377646,,within_group_loo,Neutral
291.0,ASD,0.12070043520384961,0.008727461589639551,0.23267340881805967,,within_group_loo,Neutral
291.5,TD,-0.01684189379673482,-0.13882139780981487,0.10513761021634521,,within_group_loo,Neutral
291.5,ASD,0.10705718188855494,0.0014519806835801147,0.21266238309352975,,within_group_loo,Neutral
292.0,TD,0.030712878136367857,-0.06817895046178434,0.12960470673452004,,within_group_loo,Neutral
292.0,ASD,0.1279868455189546,0.009214036971218517,0.24675965406669065,,within_group_loo,Neutral
292.5,TD,0.0024541507073400815,-0.10694457348883352,0.11185287490351367,,within_group_loo,Neutral
292.5,ASD,0.1183458727073895,-0.0035860322928908256,0.24027777770766984,,within_group_loo,Neutral
293.0,TD,0.06171982124021847,-0.04033781341884329,0.16377745589928022,,within_group_loo,Neutral
293.0,ASD,0.1231354062391675,0.013006702964317524,0.23326410951401746,,within_group_loo,Neutral
293.5,TD,0.09973526094964602,-0.011470991894861463,0.2109415137941535,,within_group_loo,Neutral
293.5,ASD,0.14322311465175006,0.031026005095544443,0.2554202242079557,,within_group_loo,Neutral
294.0,TD,0.11323761723439223,-0.008515007596586133,0.23499024206537059,,within_group_loo,Neutral
294.0,ASD,0.1432909631487053,0.029443037137558206,0.2571388891598524,,within_group_loo,Neutral
294.5,TD,0.032375106362145835,-0.07230939075749801,0.13705960348178967,,within_group_loo,Neutral
294.5,ASD,0.019712189812355625,-0.08293129434301466,0.12235567396772593,,within_group_loo,Neutral
295.0,TD,-0.14586756584882532,-0.23014703705955955,-0.06158809463809109,,within_group_loo,Neutral
295.0,ASD,-0.06297288869777254,-0.14070712001249353,0.014761342616948447,,within_group_loo,Neutral
295.5,TD,-0.03579393433493618,-0.1367475190204257,0.06515965035055332,,within_group_loo,Neutral
295.5,ASD,-0.08052964692355001,-0.16605789732808923,0.004998603480989211,,within_group_loo,Neutral
296.0,TD,0.05116635424764788,-0.06413872388442221,0.16647143237971795,,within_group_loo,Neutral
296.0,ASD,-0.08253587720885575,-0.19134409008495043,0.02627233566723894,,within_group_loo,Neutral
296.5,TD,0.09812675159685616,-0.02145176609572627,0.2177052692894386,,within_group_loo,Neutral
296.5,ASD,-0.10357592756365543,-0.1888440007051947,-0.01830785442211616,,within_group_loo,Neutral
297.0,TD,0.09700189702113046,-0.02021093910877951,0.21421473315104045,,within_group_loo,Neutral
297.0,ASD,-0.09939830528900905,-0.19196779099832276,-0.006828819579695333,,within_group_loo,Neutral
297.5,TD,0.05275212460932235,-0.05462091633730417,0.16012516555594886,,within_group_loo,Neutral
297.5,ASD,-0.09495000561316574,-0.20016688839701427,0.010266877170682781,,within_group_loo,Neutral
298.0,TD,0.07247527163706195,-0.047088365953034575,0.1920389092271585,,within_group_loo,Neutral
298.0,ASD,-0.06935950461408157,-0.1759272095599829,0.03720820033181976,,within_group_loo,Neutral
298.5,ASD,-0.09920436701639149,-0.3317037565028305,0.13329502247004754,,within_group_loo,Neutral
299.0,ASD,-0.13385548535690397,-0.43943904224764485,0.17172807153383693,,within_group_loo,Neutral
299.5,ASD,-0.09375592738269495,-0.4200909092450544,0.23257905447966448,,within_group_loo,Neutral
300.0,ASD,-0.03694454151853424,-0.3346368227268367,0.26074773968976817,,within_group_loo,Neutral
300.5,ASD,-0.38238349172870395,-0.5606975338991992,-0.20406944955820872,,within_group_loo,Neutral
301.0,ASD,-0.20933084036251054,-0.47211092279252653,0.053449242067505454,,within_group_loo,Neutral
301.5,ASD,-0.0580169716514133,-0.3679468502496344,0.25191290694680785,,within_group_loo,Neutral
302.0,ASD,-0.11865852578267552,-0.4012427909451495,0.16392573937979846,,within_group_loo,Neutral
302.5,ASD,-0.06119251665489511,-0.33929277202792707,0.21690773871813684,,within_group_loo,Neutral
303.0,ASD,-0.12781260439607925,-0.35274502574677724,0.09711981695461874,,within_group_loo,Neutral
303.5,ASD,0.08734292437495444,-0.12621710880041426,0.30090295755032315,,within_group_loo,Neutral
304.0,ASD,-0.077166293288735,-0.26733352775399466,0.11300094117652465,,within_group_loo,Neutral
304.5,ASD,0.18986931348640795,0.0151557565788758,0.3645828703939401,,within_group_loo,Neutral
305.0,ASD,0.17737175400210084,0.015835412393919834,0.33890809561028185,,within_group_loo,Neutral
305.5,ASD,0.10830764636700237,-0.11111293235645424,0.32772822509045896,,within_group_loo,Neutral
306.0,ASD,0.09955489805111274,-0.12121702930129515,0.32032682540352064,,within_group_loo,Neutral
306.5,ASD,0.3949954465511408,0.20633863817138132,0.5836522549309003,,within_group_loo,Neutral
307.0,ASD,0.31832344260445977,0.07137567850985366,0.5652712066990659,,within_group_loo,Neutral
307.5,ASD,0.158861450219078,-0.10673028197353729,0.4244531824116933,,within_group_loo,Neutral
308.0,ASD,0.15860122100596624,-0.07639640003046555,0.39359884204239803,,within_group_loo,Neutral
308.5,ASD,0.21077100593278142,-0.021179823128577746,0.4427218349941406,,within_group_loo,Neutral
